CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
565948;VMware vSphere: Skills for Operators 6;25.10.2018;26.10.2018;Online;;Tällä VMware vSphere peruskurssilla opit hyödyntämään tuotetta tehokkaasti palvelimien ja työasemien virtualisointi suoritusympäristönä. Kurssin aikana mm. luot virtuaalikoneita, teet koneiden mallipohjia, hallitset snapshot tilannevedoksia, optimoit suorituskykyä ja siirtelet koneita lennosta fyysisestä palvelimesta ja levyltä toiselle.;True;Technology;Infra;VMware
565949;VMware vSphere: Skills for Operators 6;3.12.2018;4.12.2018;Pasila;;Tällä VMware vSphere peruskurssilla opit hyödyntämään tuotetta tehokkaasti palvelimien ja työasemien virtualisointi suoritusympäristönä. Kurssin aikana mm. luot virtuaalikoneita, teet koneiden mallipohjia, hallitset snapshot tilannevedoksia, optimoit suorituskykyä ja siirtelet koneita lennosta fyysisestä palvelimesta ja levyltä toiselle.;True;Technology;Infra;VMware
565125;Active Directory Federation Services (ADFS) käyttöönotto ja hallinta;11.9.2018;13.9.2018;Pasila;PDF;Tule kurssille kuulemaan kiteytetysti se, miten AD FS kannattaa toteuttaa, jotta hankkeesi onnistuu. Pääset näkemään ja myös kokemaan, kuinka palvelu toimii ja myös sen, miten toimimaton järjestelmä saatetaan jälleen toimimaan.;True;Technology;Infra;Microsoft Cloud-services
565126;Active Directory Federation Services (ADFS) käyttöönotto ja hallinta;11.9.2018;13.9.2018;Online;PDF;Tule kurssille kuulemaan kiteytetysti se, miten AD FS kannattaa toteuttaa, jotta hankkeesi onnistuu. Pääset näkemään ja myös kokemaan, kuinka palvelu toimii ja myös sen, miten toimimaton järjestelmä saatetaan jälleen toimimaan.;True;Technology;Infra;Microsoft Cloud-services
565779;Active Directory Federation Services (ADFS) käyttöönotto ja hallinta;12.12.2018;14.12.2018;Pasila;PDF;Tule kurssille kuulemaan kiteytetysti se, miten AD FS kannattaa toteuttaa, jotta hankkeesi onnistuu. Pääset näkemään ja myös kokemaan, kuinka palvelu toimii ja myös sen, miten toimimaton järjestelmä saatetaan jälleen toimimaan.;True;Technology;Infra;Microsoft Cloud-services
565780;Active Directory Federation Services (ADFS) käyttöönotto ja hallinta;12.12.2018;14.12.2018;Online;PDF;Tule kurssille kuulemaan kiteytetysti se, miten AD FS kannattaa toteuttaa, jotta hankkeesi onnistuu. Pääset näkemään ja myös kokemaan, kuinka palvelu toimii ja myös sen, miten toimimaton järjestelmä saatetaan jälleen toimimaan.;True;Technology;Infra;Microsoft Cloud-services
565211;Microsoft Identity Manager (MIM) 2016;5.9.2018;7.9.2018;Pasila;PDF;Kurssin jälkeen osallistujalla on hyvä yleiskuva MIM 2016 -tuotteesta. Hän osaa suunnitella MIM 2016:n käyttöönoton ja myös liittää siihen eri hakemistoja.;True;Technology;Infra;Active Directory and Identity Managemant
565212;Microsoft Identity Manager (MIM) 2016;5.9.2018;7.9.2018;Online;PDF;Kurssin jälkeen osallistujalla on hyvä yleiskuva MIM 2016 -tuotteesta. Hän osaa suunnitella MIM 2016:n käyttöönoton ja myös liittää siihen eri hakemistoja.;True;Technology;Infra;Active Directory and Identity Managemant
566696;Microsoft Identity Manager (MIM) 2016;3.12.2018;5.12.2018;Pasila;PDF;Kurssin jälkeen osallistujalla on hyvä yleiskuva MIM 2016 -tuotteesta. Hän osaa suunnitella MIM 2016:n käyttöönoton ja myös liittää siihen eri hakemistoja.;True;Technology;Infra;Active Directory and Identity Managemant
566697;Microsoft Identity Manager (MIM) 2016;3.12.2018;5.12.2018;Online;PDF;Kurssin jälkeen osallistujalla on hyvä yleiskuva MIM 2016 -tuotteesta. Hän osaa suunnitella MIM 2016:n käyttöönoton ja myös liittää siihen eri hakemistoja.;True;Technology;Infra;Active Directory and Identity Managemant
566932;Microsoft Identity Manager (MIM) 2016 (TB);27.3.2019;29.3.2019;Pasila;PDF;Kurssin jälkeen osallistujalla on hyvä yleiskuva MIM 2016 -tuotteesta. Hän osaa suunnitella MIM 2016:n käyttöönoton ja myös liittää siihen eri hakemistoja.;True;Technology;Infra;Active Directory and Identity Managemant
566933;Microsoft Identity Manager (MIM) 2016 (TB);27.3.2019;29.3.2019;Online;PDF;Kurssin jälkeen osallistujalla on hyvä yleiskuva MIM 2016 -tuotteesta. Hän osaa suunnitella MIM 2016:n käyttöönoton ja myös liittää siihen eri hakemistoja.;True;Technology;Infra;Active Directory and Identity Managemant
565781;ISTQB Advanced Level Certificate in Software Testing - Technical Test Analyst;10.12.2018;12.12.2018;Pasila;;Täydennä ohjelmistotestauksen asiantuntemustasi teknisenä testaajana ja välineosaajana suorittamalla uuden sertifikaattisisällön mukainen jatkotason sertifiointitutkinto!;True;Technology;Testing
565519;ISTQB Advanced Level Certificate in Software Testing - Test Analyst;17.9.2018;20.9.2018;Pasila;;;True;Technology;Testing
566365;ISTQB Advanced Level Certificate in Software Testing - Test Analyst;8.10.2018;11.10.2018;Pasila;;;True;Technology;Testing
565520;ISTQB Advanced Level Certificate in Software Testing - Test Analyst;10.12.2018;13.12.2018;Pasila;;;True;Technology;Testing
565523;ISTQB Advanced Level Certificate in Software Testing - Test Manager;15.10.2018;23.10.2018;Pasila;;Täydennä ohjelmistotestauksen asiantuntemustasi testauspäällikkönä suorittamalla uuden sertifikaattisisällön mukainen jatkotason sertifiointitutkinto!;True;Technology;Testing
566041;XML, XSL ja XML Schema;8.11.2018;9.11.2018;Online;PDF;XML on tietosisällön kuvauskieli, jota hyödynnetään todella useassa erilaisessa järjestelmässä. Sen tärkeimmät liitännäistekniikat ovat XML-rakenteen/sanaston kuvauskieli XML Schema ja XML:n muuntamiseen käytettävä tekniikka XSL.;True;Technology;Software Development;Web Development
566040;XML, XSL ja XML Schema;8.11.2018;9.11.2018;Pasila;PDF;XML on tietosisällön kuvauskieli, jota hyödynnetään todella useassa erilaisessa järjestelmässä. Sen tärkeimmät liitännäistekniikat ovat XML-rakenteen/sanaston kuvauskieli XML Schema ja XML:n muuntamiseen käytettävä tekniikka XSL.;True;Technology;Software Development;Web Development
566795;XML, XSL ja XML Schema;4.3.2019;5.3.2019;Pasila;PDF;XML on tietosisällön kuvauskieli, jota hyödynnetään todella useassa erilaisessa järjestelmässä. Sen tärkeimmät liitännäistekniikat ovat XML-rakenteen/sanaston kuvauskieli XML Schema ja XML:n muuntamiseen käytettävä tekniikka XSL.;True;Technology;Software Development;Web Development
566796;XML, XSL ja XML Schema;4.3.2019;5.3.2019;Online;PDF;XML on tietosisällön kuvauskieli, jota hyödynnetään todella useassa erilaisessa järjestelmässä. Sen tärkeimmät liitännäistekniikat ovat XML-rakenteen/sanaston kuvauskieli XML Schema ja XML:n muuntamiseen käytettävä tekniikka XSL.;True;Technology;Software Development;Web Development
566130;Tietoliikenneverkkojen perusteet;1.10.2018;2.10.2018;Pasila;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
566131;Tietoliikenneverkkojen perusteet;1.10.2018;2.10.2018;Online;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
565899;Tietoliikenneverkkojen perusteet;8.10.2018;9.10.2018;Pasila;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
565900;Tietoliikenneverkkojen perusteet;8.10.2018;9.10.2018;Online;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
565901;Tietoliikenneverkkojen perusteet;29.11.2018;30.11.2018;Pasila;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
565902;Tietoliikenneverkkojen perusteet;29.11.2018;30.11.2018;Online;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
566133;Tietoliikenneverkkojen perusteet;13.12.2018;14.12.2018;Pasila;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
566134;Tietoliikenneverkkojen perusteet;13.12.2018;14.12.2018;Online;PDF;Toimitko ICT-projekteissa, jotka liittyvät jotenkin tietoliikenteeseen? Tuntuvatko termit vierailta? Kaipaatko kattavaa yleisnäkymää tietoliikenteestä?;False;Technology;Infra;Communication Networks
565201;TCP/IP teoriassa ja käytännössä;15.10.2018;16.10.2018;Pasila;PDF;IP-protokolla on kaikkialla. Sen avulla toimivat kaikki nykyiset Internet-palvelut ja tietoliikenne. Kurssin aikana lyhenteiden ja protokollatermien sekamelska selkiytyy ja saat jäsenneltyä asiat ymmärrettäviksi ja johdonmukaisiksi kokonaisuuksiksi. Opit myös käytännön taitoja, joita tarvitset TCP/IP-verkoissa toimiessasi. Saat myös valmiuksia tietoliikenteen vianselvitykseen.;True;Technology;Infra;Communication Networks
565202;TCP/IP teoriassa ja käytännössä;15.10.2018;16.10.2018;Online;PDF;IP-protokolla on kaikkialla. Sen avulla toimivat kaikki nykyiset Internet-palvelut ja tietoliikenne. Kurssin aikana lyhenteiden ja protokollatermien sekamelska selkiytyy ja saat jäsenneltyä asiat ymmärrettäviksi ja johdonmukaisiksi kokonaisuuksiksi. Opit myös käytännön taitoja, joita tarvitset TCP/IP-verkoissa toimiessasi. Saat myös valmiuksia tietoliikenteen vianselvitykseen.;True;Technology;Infra;Communication Networks
566137;TCP/IP teoriassa ja käytännössä;22.10.2018;23.10.2018;Pasila;PDF;IP-protokolla on kaikkialla. Sen avulla toimivat kaikki nykyiset Internet-palvelut ja tietoliikenne. Kurssin aikana lyhenteiden ja protokollatermien sekamelska selkiytyy ja saat jäsenneltyä asiat ymmärrettäviksi ja johdonmukaisiksi kokonaisuuksiksi. Opit myös käytännön taitoja, joita tarvitset TCP/IP-verkoissa toimiessasi. Saat myös valmiuksia tietoliikenteen vianselvitykseen.;True;Technology;Infra;Communication Networks
566138;TCP/IP teoriassa ja käytännössä;22.10.2018;23.10.2018;Online;PDF;IP-protokolla on kaikkialla. Sen avulla toimivat kaikki nykyiset Internet-palvelut ja tietoliikenne. Kurssin aikana lyhenteiden ja protokollatermien sekamelska selkiytyy ja saat jäsenneltyä asiat ymmärrettäviksi ja johdonmukaisiksi kokonaisuuksiksi. Opit myös käytännön taitoja, joita tarvitset TCP/IP-verkoissa toimiessasi. Saat myös valmiuksia tietoliikenteen vianselvitykseen.;True;Technology;Infra;Communication Networks
567040;TCP/IP teoriassa ja käytännössä;5.2.2019;6.2.2019;Pasila;PDF;IP-protokolla on kaikkialla. Sen avulla toimivat kaikki nykyiset Internet-palvelut ja tietoliikenne. Kurssin aikana lyhenteiden ja protokollatermien sekamelska selkiytyy ja saat jäsenneltyä asiat ymmärrettäviksi ja johdonmukaisiksi kokonaisuuksiksi. Opit myös käytännön taitoja, joita tarvitset TCP/IP-verkoissa toimiessasi. Saat myös valmiuksia tietoliikenteen vianselvitykseen.;True;Technology;Infra;Communication Networks
567041;TCP/IP teoriassa ja käytännössä;5.2.2019;6.2.2019;Online;PDF;IP-protokolla on kaikkialla. Sen avulla toimivat kaikki nykyiset Internet-palvelut ja tietoliikenne. Kurssin aikana lyhenteiden ja protokollatermien sekamelska selkiytyy ja saat jäsenneltyä asiat ymmärrettäviksi ja johdonmukaisiksi kokonaisuuksiksi. Opit myös käytännön taitoja, joita tarvitset TCP/IP-verkoissa toimiessasi. Saat myös valmiuksia tietoliikenteen vianselvitykseen.;True;Technology;Infra;Communication Networks
566060;Microsoft BizTalk Server 2016 uudet ominaisuudet;13.9.2018;14.9.2018;Online;PDF;Tällä kurssilla saat kahdessa päivässä kattavan katsauksen BizTalk Serverin uusimmista ominaisuuksista;True;Technology;Software Development;Microsoft Technologies
566059;Microsoft BizTalk Server 2016 uudet ominaisuudet;13.9.2018;14.9.2018;Pasila;PDF;Tällä kurssilla saat kahdessa päivässä kattavan katsauksen BizTalk Serverin uusimmista ominaisuuksista;True;Technology;Software Development;Microsoft Technologies
566574;Microsoft BizTalk Server 2016 uudet ominaisuudet;20.9.2018;21.9.2018;Pasila;PDF;Tällä kurssilla saat kahdessa päivässä kattavan katsauksen BizTalk Serverin uusimmista ominaisuuksista;True;Technology;Software Development;Microsoft Technologies
566575;Microsoft BizTalk Server 2016 uudet ominaisuudet;20.9.2018;21.9.2018;Online;PDF;Tällä kurssilla saat kahdessa päivässä kattavan katsauksen BizTalk Serverin uusimmista ominaisuuksista;True;Technology;Software Development;Microsoft Technologies
565974;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;13.9.2018;14.9.2018;Pasila;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
565975;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;13.9.2018;14.9.2018;Online;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
566559;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;8.11.2018;9.11.2018;Pasila;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
566560;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;8.11.2018;9.11.2018;Online;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
567001;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;5.2.2019;6.2.2019;Pasila;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
567002;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;5.2.2019;6.2.2019;Online;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
567003;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;13.5.2019;14.5.2019;Pasila;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
567004;Photoshop perusteet CC/CS6 - kuvankäsittely yritysviestinnässä;13.5.2019;14.5.2019;Online;Kirja tai muu tuloste;Photoshop-osaajaksi kahdessa päivässä!;False;Productivity;Visual Planning;Photo Editing and Video
565778;6425 Active Directoryn vaativa hallinta ja vianselvitys;29.10.2018;31.10.2018;Online;Kirja tai muu tuloste;Hyvin toteutettu, ylläpidetty ja toimiva Active Directory Domain Service (AD DS) on Microsoftin verkkokäyttöjärjestelmän ja nykyään myös useiden palvelinsovellusten sekä identiteetinhallinnan kulmakivi.;True;Technology;Infra;Active Directory and Identity Managemant
565777;6425 Active Directoryn vaativa hallinta ja vianselvitys;29.10.2018;31.10.2018;Pasila;Kirja tai muu tuloste;Hyvin toteutettu, ylläpidetty ja toimiva Active Directory Domain Service (AD DS) on Microsoftin verkkokäyttöjärjestelmän ja nykyään myös useiden palvelinsovellusten sekä identiteetinhallinnan kulmakivi.;True;Technology;Infra;Active Directory and Identity Managemant
565326;Active Directoryn perushallinta;24.10.2018;25.10.2018;Pasila;PDF;Kattava johdanto Active Directoryyn (AD) ja sen peruskäsitteisiin. Kurssi sopii henkilöille, joilla ei ole aiempaa kokemusta Active Directorysta ja jotka tarvitsevat yleiskuvan Active Directory -palveluista.;True;Technology;Infra;Server Operating Systems
565327;Active Directoryn perushallinta;24.10.2018;25.10.2018;Online;PDF;Kattava johdanto Active Directoryyn (AD) ja sen peruskäsitteisiin. Kurssi sopii henkilöille, joilla ei ole aiempaa kokemusta Active Directorysta ja jotka tarvitsevat yleiskuvan Active Directory -palveluista.;True;Technology;Infra;Server Operating Systems
566885;Active Directoryn perushallinta;7.2.2019;8.2.2019;Pasila;PDF;Kattava johdanto Active Directoryyn (AD) ja sen peruskäsitteisiin. Kurssi sopii henkilöille, joilla ei ole aiempaa kokemusta Active Directorysta ja jotka tarvitsevat yleiskuvan Active Directory -palveluista.;True;Technology;Infra;Server Operating Systems
566886;Active Directoryn perushallinta;7.2.2019;8.2.2019;Online;PDF;Kattava johdanto Active Directoryyn (AD) ja sen peruskäsitteisiin. Kurssi sopii henkilöille, joilla ei ole aiempaa kokemusta Active Directorysta ja jotka tarvitsevat yleiskuvan Active Directory -palveluista.;True;Technology;Infra;Server Operating Systems
566887;Active Directoryn perushallinta;3.6.2019;4.6.2019;Pasila;PDF;Kattava johdanto Active Directoryyn (AD) ja sen peruskäsitteisiin. Kurssi sopii henkilöille, joilla ei ole aiempaa kokemusta Active Directorysta ja jotka tarvitsevat yleiskuvan Active Directory -palveluista.;True;Technology;Infra;Server Operating Systems
566888;Active Directoryn perushallinta;3.6.2019;4.6.2019;Online;PDF;Kattava johdanto Active Directoryyn (AD) ja sen peruskäsitteisiin. Kurssi sopii henkilöille, joilla ei ole aiempaa kokemusta Active Directorysta ja jotka tarvitsevat yleiskuvan Active Directory -palveluista.;True;Technology;Infra;Server Operating Systems
565721;PKI ja varmenteet Microsoft-ympäristöissä;17.9.2018;19.9.2018;Pasila;PDF;Sovelton PKI-kurssin käytyäsi et ainoastaan tunne arkkitehtuuria paremmin, vaan osaat sellaisen myös parhaiden käytäntöjen mukaisesti suunnitella ja pystyttää. Lisäksi osaat ylläpitää varmennepalveluita ja tunnet eri käyttöskenaariot. Lisäksi osaat hallita varmenteita niiden koko elinkaaren aikana.;True;Technology;Information Security
565722;PKI ja varmenteet Microsoft-ympäristöissä;17.9.2018;19.9.2018;Online;PDF;Sovelton PKI-kurssin käytyäsi et ainoastaan tunne arkkitehtuuria paremmin, vaan osaat sellaisen myös parhaiden käytäntöjen mukaisesti suunnitella ja pystyttää. Lisäksi osaat ylläpitää varmennepalveluita ja tunnet eri käyttöskenaariot. Lisäksi osaat hallita varmenteita niiden koko elinkaaren aikana.;True;Technology;Information Security
567006;PKI ja varmenteet Microsoft-ympäristöissä;4.3.2019;6.3.2019;Online;PDF;Sovelton PKI-kurssin käytyäsi et ainoastaan tunne arkkitehtuuria paremmin, vaan osaat sellaisen myös parhaiden käytäntöjen mukaisesti suunnitella ja pystyttää. Lisäksi osaat ylläpitää varmennepalveluita ja tunnet eri käyttöskenaariot. Lisäksi osaat hallita varmenteita niiden koko elinkaaren aikana.;True;Technology;Information Security
567005;PKI ja varmenteet Microsoft-ympäristöissä;4.3.2019;6.3.2019;Pasila;PDF;Sovelton PKI-kurssin käytyäsi et ainoastaan tunne arkkitehtuuria paremmin, vaan osaat sellaisen myös parhaiden käytäntöjen mukaisesti suunnitella ja pystyttää. Lisäksi osaat ylläpitää varmennepalveluita ja tunnet eri käyttöskenaariot. Lisäksi osaat hallita varmenteita niiden koko elinkaaren aikana.;True;Technology;Information Security
566698;PKI ja varmenteet Microsoft-ympäristöissä;7.11.2018;9.11.2018;Pasila;PDF;Sovelton PKI-kurssin käytyäsi et ainoastaan tunne arkkitehtuuria paremmin, vaan osaat sellaisen myös parhaiden käytäntöjen mukaisesti suunnitella ja pystyttää. Lisäksi osaat ylläpitää varmennepalveluita ja tunnet eri käyttöskenaariot. Lisäksi osaat hallita varmenteita niiden koko elinkaaren aikana.;True;Technology;Information Security
566699;PKI ja varmenteet Microsoft-ympäristöissä;7.11.2018;9.11.2018;Online;PDF;Sovelton PKI-kurssin käytyäsi et ainoastaan tunne arkkitehtuuria paremmin, vaan osaat sellaisen myös parhaiden käytäntöjen mukaisesti suunnitella ja pystyttää. Lisäksi osaat ylläpitää varmennepalveluita ja tunnet eri käyttöskenaariot. Lisäksi osaat hallita varmenteita niiden koko elinkaaren aikana.;True;Technology;Information Security
565983;SQL Server Reporting Services;5.9.2018;7.9.2018;Pasila;PDF;Kurssilla perehdytään monipuolisesti raporttien tekemiseen, tilaus- ja julkaisumenettelyihin sekä hallinnointiin. Ilmoittaudu kurssille ja toteuta omat raporttisi saman tien.;True;Technology;Databases and Analytics;Reporting and BI
565985;SQL Server Reporting Services;5.9.2018;7.9.2018;Online;PDF;Kurssilla perehdytään monipuolisesti raporttien tekemiseen, tilaus- ja julkaisumenettelyihin sekä hallinnointiin. Ilmoittaudu kurssille ja toteuta omat raporttisi saman tien.;True;Technology;Databases and Analytics;Reporting and BI
565987;SQL Server Reporting Services;28.11.2018;30.11.2018;Online;PDF;Kurssilla perehdytään monipuolisesti raporttien tekemiseen, tilaus- ja julkaisumenettelyihin sekä hallinnointiin. Ilmoittaudu kurssille ja toteuta omat raporttisi saman tien.;True;Technology;Databases and Analytics;Reporting and BI
565986;SQL Server Reporting Services;28.11.2018;30.11.2018;Pasila;PDF;Kurssilla perehdytään monipuolisesti raporttien tekemiseen, tilaus- ja julkaisumenettelyihin sekä hallinnointiin. Ilmoittaudu kurssille ja toteuta omat raporttisi saman tien.;True;Technology;Databases and Analytics;Reporting and BI
567031;SQL Server Reporting Services;2.4.2019;4.4.2019;Online;PDF;Kurssilla perehdytään monipuolisesti raporttien tekemiseen, tilaus- ja julkaisumenettelyihin sekä hallinnointiin. Ilmoittaudu kurssille ja toteuta omat raporttisi saman tien.;True;Technology;Databases and Analytics;Reporting and BI
567030;SQL Server Reporting Services;2.4.2019;4.4.2019;Pasila;PDF;Kurssilla perehdytään monipuolisesti raporttien tekemiseen, tilaus- ja julkaisumenettelyihin sekä hallinnointiin. Ilmoittaudu kurssille ja toteuta omat raporttisi saman tien.;True;Technology;Databases and Analytics;Reporting and BI
566587;SQL Server Analysis Services;24.10.2018;26.10.2018;Online;Kirja tai muu tuloste;Dimensiomallinnuksessa on omat haasteensa. Tällä kurssilla opit sen nopeasti ja tehokkaasti. Kurssilla opetellaan Analysis Services Multidimensional -projektin ja kuution tekeminen valmiin DataWarehouse-relaatiokannan päälle. Lisäksi perehdytään Analyysipalvelimen hallintaan.;True;Technology;Databases and Analytics;Reporting and BI
566586;SQL Server Analysis Services;24.10.2018;26.10.2018;Pasila;Kirja tai muu tuloste;Dimensiomallinnuksessa on omat haasteensa. Tällä kurssilla opit sen nopeasti ja tehokkaasti. Kurssilla opetellaan Analysis Services Multidimensional -projektin ja kuution tekeminen valmiin DataWarehouse-relaatiokannan päälle. Lisäksi perehdytään Analyysipalvelimen hallintaan.;True;Technology;Databases and Analytics;Reporting and BI
567020;SQL Server Analysis Services;5.2.2019;7.2.2019;Pasila;Kirja tai muu tuloste;Dimensiomallinnuksessa on omat haasteensa. Tällä kurssilla opit sen nopeasti ja tehokkaasti. Kurssilla opetellaan Analysis Services Multidimensional -projektin ja kuution tekeminen valmiin DataWarehouse-relaatiokannan päälle. Lisäksi perehdytään Analyysipalvelimen hallintaan.;True;Technology;Databases and Analytics;Reporting and BI
567021;SQL Server Analysis Services;5.2.2019;7.2.2019;Online;Kirja tai muu tuloste;Dimensiomallinnuksessa on omat haasteensa. Tällä kurssilla opit sen nopeasti ja tehokkaasti. Kurssilla opetellaan Analysis Services Multidimensional -projektin ja kuution tekeminen valmiin DataWarehouse-relaatiokannan päälle. Lisäksi perehdytään Analyysipalvelimen hallintaan.;True;Technology;Databases and Analytics;Reporting and BI
565238;ITIL® Foundation 2011 Edition;10.9.2018;12.9.2018;Online;;ITIL Foundation on jokaisen IT-alalla työskentelevän peruskoulutus. Kurssilla saat kolmipäiväisen tehoannoksen maailmanlaajuisesti toimiviksi havaituista käytännöistä hallitsemattomien IT-palveluiden kontrollomiseen.;True;Leadership;IT Service Management
565237;ITIL® Foundation 2011 Edition;10.9.2018;12.9.2018;Pasila;;ITIL Foundation on jokaisen IT-alalla työskentelevän peruskoulutus. Kurssilla saat kolmipäiväisen tehoannoksen maailmanlaajuisesti toimiviksi havaituista käytännöistä hallitsemattomien IT-palveluiden kontrollomiseen.;True;Leadership;IT Service Management
565240;ITIL® Foundation 2011 Edition;5.11.2018;7.11.2018;Online;;ITIL Foundation on jokaisen IT-alalla työskentelevän peruskoulutus. Kurssilla saat kolmipäiväisen tehoannoksen maailmanlaajuisesti toimiviksi havaituista käytännöistä hallitsemattomien IT-palveluiden kontrollomiseen.;True;Leadership;IT Service Management
565239;ITIL® Foundation 2011 Edition;5.11.2018;7.11.2018;Pasila;;ITIL Foundation on jokaisen IT-alalla työskentelevän peruskoulutus. Kurssilla saat kolmipäiväisen tehoannoksen maailmanlaajuisesti toimiviksi havaituista käytännöistä hallitsemattomien IT-palveluiden kontrollomiseen.;True;Leadership;IT Service Management
566989;Microsoft BizTalk Server -sovelluskehitys;20.11.2018;22.11.2018;Pasila;PDF;Nykyaikaisessa sovelluskehityksessä haetaan tuottavuutta ja BizTalk Server tarjoaa sen intergraatioratkaisujen toteuttamiseen. Tuote on hyvin laaja ja kokonaisvaltaisen yleiskuvan saamiseksi sekä hyvien käytäntöjen ymmärtämiseksi tämä kurssi tarjoaa hyvän paketin.;True;Technology;Software Development;Microsoft Technologies
566990;Microsoft BizTalk Server -sovelluskehitys;20.11.2018;22.11.2018;Online;PDF;Nykyaikaisessa sovelluskehityksessä haetaan tuottavuutta ja BizTalk Server tarjoaa sen intergraatioratkaisujen toteuttamiseen. Tuote on hyvin laaja ja kokonaisvaltaisen yleiskuvan saamiseksi sekä hyvien käytäntöjen ymmärtämiseksi tämä kurssi tarjoaa hyvän paketin.;True;Technology;Software Development;Microsoft Technologies
567073;Microsoft BizTalk Server -sovelluskehitys;20.11.2018;22.11.2018;Pasila;PDF;Nykyaikaisessa sovelluskehityksessä haetaan tuottavuutta ja BizTalk Server tarjoaa sen intergraatioratkaisujen toteuttamiseen. Tuote on hyvin laaja ja kokonaisvaltaisen yleiskuvan saamiseksi sekä hyvien käytäntöjen ymmärtämiseksi tämä kurssi tarjoaa hyvän paketin.;True;Technology;Software Development;Microsoft Technologies
567074;Microsoft BizTalk Server -sovelluskehitys;20.11.2018;22.11.2018;Online;PDF;Nykyaikaisessa sovelluskehityksessä haetaan tuottavuutta ja BizTalk Server tarjoaa sen intergraatioratkaisujen toteuttamiseen. Tuote on hyvin laaja ja kokonaisvaltaisen yleiskuvan saamiseksi sekä hyvien käytäntöjen ymmärtämiseksi tämä kurssi tarjoaa hyvän paketin.;True;Technology;Software Development;Microsoft Technologies
566991;Microsoft BizTalk Server -sovelluskehitys;6.2.2019;8.2.2019;Pasila;PDF;Nykyaikaisessa sovelluskehityksessä haetaan tuottavuutta ja BizTalk Server tarjoaa sen intergraatioratkaisujen toteuttamiseen. Tuote on hyvin laaja ja kokonaisvaltaisen yleiskuvan saamiseksi sekä hyvien käytäntöjen ymmärtämiseksi tämä kurssi tarjoaa hyvän paketin.;True;Technology;Software Development;Microsoft Technologies
566992;Microsoft BizTalk Server -sovelluskehitys;6.2.2019;8.2.2019;Online;PDF;Nykyaikaisessa sovelluskehityksessä haetaan tuottavuutta ja BizTalk Server tarjoaa sen intergraatioratkaisujen toteuttamiseen. Tuote on hyvin laaja ja kokonaisvaltaisen yleiskuvan saamiseksi sekä hyvien käytäntöjen ymmärtämiseksi tämä kurssi tarjoaa hyvän paketin.;True;Technology;Software Development;Microsoft Technologies
